"Story","Title","Result","Date","Stability","Duration (s)"
"Tag with pet runner","Provide a 415 status code when incorrect HTTP method is used to access a resource","SUCCESS","2023-01-10T18:31:19.774Z[Europe/London]","0.0","0.65"
"Tag with pet runner","Verifies whether a status code of 405 is returned for GET method","SUCCESS","2023-01-10T18:31:20.426Z[Europe/London]","0.0","0.49"
"Tag with pet runner","Provides an error code of 404 when user accesses an invalid resource","SUCCESS","2023-01-10T18:31:20.913Z[Europe/London]","0.0","0.5"
