"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on the petstore","Check if the pet can be created by the user","SUCCESS","2023-01-10T18:31:10.816Z[Europe/London]","0.0","0.58"
"Testing different request on the petstore","Check if the pet can be accessed by the user","SUCCESS","2023-01-10T18:31:11.655Z[Europe/London]","0.0","0.57"
"Testing different request on the petstore","Check if the pet can be updated by the user","SUCCESS","2023-01-10T18:31:12.464Z[Europe/London]","0.0","0.56"
"Testing different request on the petstore","Check if the pet can be deleted by the user","SUCCESS","2023-01-10T18:31:13.343Z[Europe/London]","0.0","0.57"
"Testing different request on the petstore","Check if the user account can be created by the user","SUCCESS","2023-01-10T18:31:14.326Z[Europe/London]","0.0","0.53"
"Testing different request on the petstore","Check if the user account can be accessed by the user","SUCCESS","2023-01-10T18:31:15.200Z[Europe/London]","0.0","0.52"
"Testing different request on the petstore","Check if the user account can be updated by the user","SUCCESS","2023-01-10T18:31:15.910Z[Europe/London]","0.0","0.54"
"Testing different request on the petstore","Check if the user account can be deleted by the user","SUCCESS","2023-01-10T18:31:16.637Z[Europe/London]","0.0","0.57"
