"Story","Title","Result","Date","Stability","Duration (s)"
"Tag with user runner","Provide a 405 status code when incorrect HTTP method is used to access resource","SUCCESS","2023-01-10T18:31:21.498Z[Europe/London]","0.0","0.56"
"Tag with user runner","This test will verify if a status code of 405 is returned for GET request","SUCCESS","2023-01-10T18:31:22.058Z[Europe/London]","0.0","0.49"
"Tag with user runner","This test will provide an error code of 404 when user tries to access an invalid resource","SUCCESS","2023-01-10T18:31:22.548Z[Europe/London]","0.0","0.51"
